epoch,accuracy,loss,val_accuracy,val_loss
0,0.38112372159957886,1.3237109184265137,0.4380403459072113,1.2766225337982178
1,0.6462773084640503,0.9690824747085571,0.6282420754432678,0.9485984444618225
2,0.7877110242843628,0.5801470279693604,0.6916426420211792,0.7944658994674683
3,0.846388041973114,0.41164982318878174,0.6916426420211792,0.8252356648445129
4,0.8843066692352295,0.32855549454689026,0.6945244669914246,0.842090904712677
5,0.9053418040275574,0.2666594088077545,0.7060518860816956,0.9032720327377319
6,0.9216717481613159,0.22426220774650574,0.6974063515663147,0.9256321787834167
7,0.9399390816688538,0.18521946668624878,0.6887608170509338,0.9785413146018982
8,0.9518405795097351,0.16214480996131897,0.6858789920806885,1.0692294836044312
9,0.9612510204315186,0.142026886343956,0.6887608170509338,1.1303765773773193
10,0.9654027223587036,0.12214841693639755,0.6916426420211792,1.156489372253418
11,0.9662330746650696,0.11246057599782944,0.680115282535553,1.2135612964630127
12,0.9656794667243958,0.10991235822439194,0.6858789920806885,1.2616444826126099
13,0.9698311686515808,0.09533818811178207,0.6772334575653076,1.3099007606506348
14,0.972045361995697,0.09201536327600479,0.6685879230499268,1.3837108612060547
15,0.9731525182723999,0.088438019156456,0.680115282535553,1.3614426851272583
16,0.976473867893219,0.08425238728523254,0.680115282535553,1.3767350912094116
17,0.973706066608429,0.08413632959127426,0.6743515729904175,1.4321811199188232
18,0.9767506122589111,0.07023357599973679,0.6858789920806885,1.4856212139129639
19,0.9759202599525452,0.07402399182319641,0.680115282535553,1.4431241750717163
20,0.9778577089309692,0.06915289163589478,0.6772334575653076,1.4615906476974487
21,0.9784113168716431,0.06600681692361832,0.6829971075057983,1.490944266319275
22,0.9797951579093933,0.06669201701879501,0.6858789920806885,1.5257046222686768
23,0.9773041605949402,0.06318734586238861,0.6772334575653076,1.521527647972107
24,0.9781345129013062,0.06408022344112396,0.6743515729904175,1.57357656955719
